Gene,P-Value,q-value,Fold Change,DEGs
ENSG00000186081.12,0.0,1e-320,4.823278055756619,UP
ENSG00000205420.11,0.0,1e-320,4.5140234036010485,UP
ENSG00000186847.6,0.0,1e-320,3.4705542301220307,UP
ENSG00000185479.6,0.0,1e-320,3.4197642611842634,UP
ENSG00000128422.17,0.0,1e-320,3.414176399493234,UP
ENSG00000186832.9,0.0,1e-320,3.408069429398045,UP
ENSG00000134757.5,0.0,1e-320,3.3614816459569328,UP
ENSG00000169474.4,0.0,1e-320,3.2568741562815298,UP
ENSG00000081277.13,0.0,1e-320,3.2548120431001264,UP
ENSG00000169469.9,4.0208421073931704e-287,2.256595060271677e-285,3.2154898219252703,UP
ENSG00000241794.2,0.0,1e-320,3.1657385398072204,UP
ENSG00000171401.15,0.0,1e-320,3.0954403559052857,UP
ENSG00000266019.1,5.116920902283931e-111,2.4387404646933813e-110,-3.024002961265886,DOWN
ENSG00000134762.17,0.0,1e-320,2.986071564701883,UP
ENSG00000137975.8,0.0,1e-320,2.9750804352767433,UP
ENSG00000252010.1,6.184154045906446e-114,3.092077022953223e-113,-2.9298457041026817,DOWN
ENSG00000196754.13,2.2626236546706798e-296,1.4141397841691749e-294,2.9262297234470904,UP
ENSG00000073282.14,0.0,1e-320,2.903159872090041,UP
ENSG00000124102.5,1.2345432652526722e-277,6.062489249008658e-276,2.8760685515166204,UP
ENSG00000202538.1,1.3416567227133496e-102,5.308713651024045e-102,-2.8548886791279626,DOWN
ENSG00000238741.1,2.9964763357397384e-118,1.648061984656856e-117,-2.8357985996546247,DOWN
ENSG00000206075.14,0.0,1e-320,2.8018593542723176,UP
ENSG00000137699.17,0.0,1e-320,2.7577425205993658,UP
ENSG00000252835.1,2.3975463125499652e-106,1.009686425652742e-105,-2.6367219672622797,DOWN
ENSG00000163331.12,0.0,1e-320,2.630055711484291,UP
ENSG00000163209.15,3.5716270992007245e-268,1.4659663466868645e-266,2.6263297291453824,UP
ENSG00000143556.9,8.06475112213989e-238,2.2630679169270095e-236,2.521514842953162,UP
ENSG00000200795.1,1.6849120041971522e-99,6.253047249044762e-99,-2.497867141901387,DOWN
ENSG00000163216.7,2.4140887915321726e-263,9.621368372048514e-262,2.487506173289569,UP
ENSG00000133636.11,1.096948484452475e-173,1.5235395617395486e-172,2.476482773126246,UP
ENSG00000198074.10,1.35905817459179e-144,1.1394542622339703e-143,2.464358770671304,UP
ENSG00000200087.1,1.639473123180155e-106,6.92557770928637e-106,-2.456915769431784,DOWN
ENSG00000189280.3,0.0,1e-320,2.4491847286870856,UP
ENSG00000201098.1,1.818620250055479e-109,8.447982580494202e-109,-2.447117505601259,DOWN
ENSG00000121742.19,0.0,1e-320,2.441488168215387,UP
ENSG00000207008.1,6.22946792885891e-96,2.0993917652404414e-95,-2.4348387182154143,DOWN
ENSG00000171346.16,1.5987972153385005e-274,7.713495337159433e-273,2.4284826606188807,UP
ENSG00000124466.9,9.36872560720009e-309,6.606152671743653e-307,2.397093905744143,UP
ENSG00000196344.11,1.0270356238570322e-270,4.555399944527159e-269,2.363603819127635,UP
ENSG00000087494.16,0.0,1e-320,2.351731656132026,UP
ENSG00000110400.11,0.0,1e-320,2.328192078034519,UP
ENSG00000278771.1,3.043880020676644e-118,1.6707924265191158e-117,-2.314808281926421,DOWN
ENSG00000251791.1,2.561317903442365e-114,1.2971683673050651e-113,-2.3092937029401686,DOWN
ENSG00000181449.4,2.2545137680428186e-239,6.666572970019088e-238,2.308810382406018,UP
ENSG00000208892.1,6.705498151723888e-95,2.2243811721641364e-94,-2.2984233882121243,DOWN
ENSG00000178919.9,0.0,1e-320,2.280732911655347,UP
ENSG00000200156.1,2.320568204961161e-96,7.917571418912151e-96,-2.280279903251084,DOWN
ENSG00000239039.1,3.990470322344413e-102,1.560994791813248e-101,-2.2408418724665333,DOWN
ENSG00000230937.12,7.389683336856647e-241,2.3092760427677023e-239,2.2173540897424764,UP
ENSG00000121552.4,0.0,1e-320,2.1891612449430475,UP
ENSG00000212232.1,8.261167583435149e-79,2.0375076999503729e-78,-2.187535088286761,DOWN
ENSG00000117394.24,7.978992113720752e-247,2.612170037230008e-245,2.164214144352297,UP
ENSG00000212464.1,4.008593807998434e-105,1.6652013552863583e-104,-2.15820127362065,DOWN
ENSG00000176153.12,1.6413017767887491e-139,1.2714309538504394e-138,2.1485459016469752,UP
ENSG00000263740.2,2.2336337593780512e-126,1.3865672321195577e-125,-2.1391922321498744,DOWN
ENSG00000183347.15,0.0,1e-320,2.137502321591582,UP
ENSG00000130821.17,8.806e-320,6.54517e-318,2.1227461304861226,UP
ENSG00000182379.10,0.0,1e-320,2.0809715033412663,UP
ENSG00000137440.5,2.952036292509333e-216,6.709173392066666e-215,2.0794704645926667,UP
ENSG00000199568.1,7.707183520688921e-86,2.0902124932834843e-85,-2.0691174823243648,DOWN
ENSG00000196260.5,5.59347181501825e-176,8.095814469105361e-175,-2.063636703826733,DOWN
ENSG00000212402.1,7.649874437269974e-109,3.488748706881e-108,-2.0515190211952206,DOWN
ENSG00000166670.10,2.6850113324259312e-201,5.31207277997936e-200,2.0477750397984362,UP
ENSG00000168484.12,9.468537997684102e-64,1.9533743055987455e-63,-2.0454016663146133,DOWN
ENSG00000165474.8,7.191375845464771e-189,1.2437914198130894e-187,2.0439507982971215,UP
ENSG00000131400.8,1.642126137227866e-152,1.601364140913699e-151,-2.0292111732253653,DOWN
ENSG00000101144.13,0.0,1e-320,2.0093220917219177,UP
ENSG00000131746.13,1.0241340337767452e-240,3.1644590931303923e-239,2.001840398844349,UP
ENSG00000069011.16,1.5952690656306963e-240,4.874433256093794e-239,1.989908574075103,UP
ENSG00000256812.2,3.262316355507e-312,2.3608868362225e-310,1.9881886369558905,UP
ENSG00000114638.8,1.006548526289333e-165,1.2193869811875179e-164,1.9874796489816053,UP
ENSG00000185633.10,1.520679175450957e-252,5.361368887807861e-251,1.960533188078971,UP
ENSG00000114270.17,4.314898126021636e-273,2.0111813299253386e-271,1.940572268326415,UP
ENSG00000129194.8,0.0,1e-320,1.9397648675244026,UP
ENSG00000086570.12,6.166968523481804e-301,4.0378960570416573e-299,1.9383615517529007,UP
ENSG00000212443.1,1.1197634878619912e-98,4.06246647971039e-98,-1.9325488779239608,DOWN
ENSG00000197061.5,6.978425336166239e-90,2.0459136113493768e-89,-1.921013949966151,DOWN
ENSG00000222489.1,1.7314632625541673e-103,6.991958842913304e-103,-1.9165214682414997,DOWN
ENSG00000148053.17,1.3193584977404205e-269,5.759104553628819e-268,1.9063974894956384,UP
ENSG00000201998.1,8.783145411963794e-88,2.4875025626056063e-87,-1.9058116979351338,DOWN
ENSG00000162896.6,4.517991350246582e-134,3.145437015994456e-133,-1.8825936480113066,DOWN
ENSG00000188910.8,4.602719967198412e-239,1.3323663062942773e-237,1.873489886590626,UP
ENSG00000278705.1,5.58332011600179e-93,1.7527546026261328e-92,-1.8577446090047323,DOWN
ENSG00000167600.14,3.964565465796322e-240,1.1980829704329546e-238,1.854638100246536,UP
ENSG00000096088.16,1.761115497865867e-86,4.862517689890698e-86,-1.85160411507493,DOWN
ENSG00000229415.10,5.155921105575897e-248,1.7291198829675265e-246,-1.8500532020700269,DOWN
ENSG00000057149.16,2.0377370651407262e-164,2.4364247517986944e-163,1.8250504963790615,UP
ENSG00000168298.7,2.1240255661468788e-79,5.2717241037038966e-79,-1.8211050821197385,DOWN
ENSG00000163032.12,0.0,1e-320,1.8185463137859423,UP
ENSG00000114948.13,9.114731905397634e-282,4.820290911508364e-280,1.814451256435114,UP
ENSG00000122852.15,1.0349411062705397e-70,2.2805192646185772e-70,-1.806832004037069,DOWN
ENSG00000065618.21,7.659546574196744e-158,8.196012871222197e-157,1.7967372831341848,UP
ENSG00000136352.19,3.862992318782729e-197,7.226686310647962e-196,-1.7941590483765415,DOWN
ENSG00000265727.2,2.7247800625742e-109,1.2572391228320552e-108,-1.7856078621547677,DOWN
ENSG00000200959.1,7.6173795774759e-81,1.9342376581771675e-80,-1.777779208099785,DOWN
ENSG00000185686.18,5.016097047044251e-146,4.351503747435864e-145,1.763564519283266,UP
ENSG00000106278.12,1.6828624994833825e-259,6.427599824415697e-258,1.7564182750470458,UP
ENSG00000202058.1,1.7166406774524392e-90,5.103526338372116e-90,-1.7548835200849773,DOWN
ENSG00000167656.5,1.5896580353185898e-149,1.4620600659284688e-148,1.7542358832805136,UP
ENSG00000207233.1,1.6665226040010255e-90,4.9598887023840045e-90,-1.7422618664883744,DOWN
ENSG00000108602.18,2.245322983266299e-123,1.322192334899855e-122,1.738983473860609,UP
ENSG00000134363.12,1.2710734441706592e-254,4.5395480148952114e-253,1.7251579648622286,UP
ENSG00000200792.1,2.552043250188447e-89,7.371973674388896e-89,-1.71806311837438,DOWN
ENSG00000161243.9,0.0,1e-320,1.7119865464012447,UP
ENSG00000132746.15,2.901517779016309e-246,9.387263402699823e-245,1.7083291900158928,UP
ENSG00000207088.1,1.50950409372714e-97,5.349402394007261e-97,-1.7027578341620497,DOWN
ENSG00000200488.1,1.943573585070254e-100,7.341795822724175e-100,-1.6979582153628028,DOWN
ENSG00000203697.12,5.617117711967973e-223,1.3792030096349933e-221,-1.6932300535296134,DOWN
ENSG00000180739.14,0.0,1e-320,1.6850136895734855,UP
ENSG00000200312.1,1.7886760146829518e-101,6.879523133395968e-101,-1.6807988957304587,DOWN
ENSG00000277918.1,1.027422925215229e-84,2.743119460526097e-84,-1.6793465376536338,DOWN
ENSG00000123838.11,4.765253883045517e-121,2.7415163553086133e-120,-1.6764830264829291,DOWN
ENSG00000158055.16,0.0,1e-320,1.6752113325348188,UP
ENSG00000236060.2,9.513796298676242e-182,1.4950251326491239e-180,1.6727684260464897,UP
ENSG00000151632.17,2.3700627538777577e-88,6.775127414931221e-88,1.6676743808542764,UP
ENSG00000226084.5,1.1783159688858524e-147,1.0624160375200309e-146,1.66752206325488,UP
ENSG00000265527.1,2.800757146396139e-96,9.508743398258496e-96,-1.6573174641921127,DOWN
ENSG00000256612.7,1.382059960585888e-149,1.2753909032252322e-148,-1.65395891328089,DOWN
ENSG00000168143.9,5.122927439475428e-269,2.201257884149598e-267,1.6475362147536927,UP
ENSG00000265190.7,1.9504902665747848e-279,9.752451332873924e-278,1.6428909733996753,UP
ENSG00000274618.2,1.255262337543149e-96,4.3149642853045745e-96,-1.6427773991210084,DOWN
ENSG00000135069.14,4.748807031803965e-179,7.255121854144946e-178,1.6405217082503074,UP
ENSG00000171658.8,5.366272441278507e-144,4.431606370425193e-143,1.639505608414427,UP
ENSG00000104140.7,7.306948252171619e-153,7.360479008597785e-152,1.6369980608408254,UP
ENSG00000153446.16,1.849487844381092e-116,9.818709598548268e-116,-1.6353621644831573,DOWN
ENSG00000117407.17,1.78e-321,1.3587e-319,1.631776899140141,UP
ENSG00000265735.2,1.8470364108134894e-100,6.98672645080756e-100,-1.627769599025148,DOWN
ENSG00000166415.15,5.441922546294654e-271,2.4942145003850495e-269,1.6265177428391264,UP
ENSG00000230322.1,1.3443091023918532e-107,5.812657282354711e-107,-1.621717782941484,DOWN
ENSG00000162738.6,7.209472854475227e-269,3.0501615922779806e-267,1.6193723961379256,UP
ENSG00000207445.1,1.5832552190112067e-86,4.380233251791567e-86,-1.6192073152206377,DOWN
ENSG00000101057.16,1.0075146674953811e-146,8.851965928473796e-146,1.609677888942615,UP
ENSG00000163207.7,6.191390857569729e-143,5.022514707468069e-142,1.6062250303513836,UP
ENSG00000105427.10,2.412923781962128e-204,4.989128120598385e-203,1.6002352036195284,UP
ENSG00000110195.14,2.212090915552199e-118,1.2314271291029448e-117,-1.5918930698979066,DOWN
ENSG00000183779.7,3.502163003070526e-196,6.420632172295964e-195,1.58922750756092,UP
ENSG00000108352.13,1.3972933776575695e-293,8.539015085685147e-292,1.573676046514512,UP
ENSG00000257979.1,4.044651544252726e-105,1.677645813981146e-104,-1.5667401195822666,DOWN
ENSG00000201343.1,4.884501604551469e-96,1.650169460997118e-95,-1.5620315867031143,DOWN
ENSG00000221676.1,2.5520797482405464e-87,7.176093361617079e-87,-1.558286000173979,DOWN
ENSG00000221962.5,3.6680561357397824e-99,1.3503553377890767e-98,-1.5572016858047406,DOWN
ENSG00000238961.1,8.011364312458646e-99,2.918046603875666e-98,-1.5567596692723749,DOWN
ENSG00000200169.1,2.9966523516875985e-96,1.0161274928657085e-95,-1.556710468139303,DOWN
ENSG00000201428.1,5.082572306410399e-98,1.815204395146571e-97,-1.5554822050506165,DOWN
ENSG00000107159.13,1.807034486755561e-114,9.202490441810727e-114,1.5436214393578922,UP
ENSG00000136943.11,1.4546150852365373e-259,5.63407251324011e-258,1.5406034117208325,UP
ENSG00000089685.15,1.5575760148812322e-166,1.9469700186015403e-165,1.5340784998998402,UP
ENSG00000239437.3,3.331530968750105e-117,1.7964137576593702e-116,-1.5326387029159663,DOWN
ENSG00000173376.14,5.122707943796991e-171,6.805529877024988e-170,-1.5303979991317656,DOWN
ENSG00000249992.2,2.987703117508456e-249,1.0270229466435318e-247,1.528469235980334,UP
ENSG00000224618.1,9.706116784398778e-112,4.715869462384565e-111,-1.5264903817395878,DOWN
ENSG00000259276.1,2.624528858117336e-104,1.0772319940033841e-103,-1.5197637714938013,DOWN
ENSG00000201793.1,2.1871550239143492e-97,7.701250084205456e-97,-1.5197487332991904,DOWN
ENSG00000265520.1,9.215604349580997e-111,4.3619469812990947e-110,-1.5179684276918564,DOWN
ENSG00000101447.15,1.7317066701401005e-234,4.668817002828702e-233,1.5129081955562986,UP
ENSG00000124575.7,1.2785874724581048e-72,2.882061925622777e-72,-1.5059665356862557,DOWN
ENSG00000111206.13,4.64001446524914e-199,8.923104740863732e-198,1.5012691972681012,UP
ENSG00000117399.14,3.229365956302464e-147,2.8647601225263795e-146,1.5003161361031156,UP
ENSG00000085552.17,9.014121276198249e-213,2.0153523178492022e-211,1.4972183475067045,UP
ENSG00000278637.2,4.34758085287844e-93,1.3679459205281131e-92,-1.49105200646159,DOWN
ENSG00000264678.1,3.2602270223561565e-103,1.3107637882279869e-102,-1.4909351851576211,DOWN
ENSG00000175063.17,1.8974779405681254e-118,1.062742227405773e-117,1.4906542193097032,UP
ENSG00000263642.1,2.9354638728669104e-109,1.3499206773217398e-108,-1.4821547400532278,DOWN
ENSG00000137203.15,1.1591569488092851e-287,6.641003352553196e-286,1.4817534748205956,UP
ENSG00000274115.1,3.024340009617174e-94,9.842526658517431e-94,-1.4784414712460863,DOWN
ENSG00000230943.3,0.0,1e-320,1.4776003325575575,UP
ENSG00000196611.5,1.3755968908273118e-81,3.528816650909615e-81,1.4751449210897243,UP
ENSG00000092621.13,2.326325617063448e-241,7.353328099913198e-240,1.4742565706955384,UP
ENSG00000048540.15,4.43017227269017e-201,8.702124107069977e-200,-1.473707402549223,DOWN
ENSG00000171903.16,3.907289596498095e-111,1.8719593014581467e-110,1.4673816250715197,UP
ENSG00000066405.13,6.490386853816982e-75,1.5113093859438357e-74,-1.4669407117537678,DOWN
ENSG00000198435.4,8.604419384045967e-256,3.113441224490317e-254,1.457417670103631,UP
ENSG00000088325.16,9.621817577438827e-144,7.874999505344279e-143,1.4573064486991179,UP
ENSG00000184270.6,1.7065978632631515e-88,4.8886917958059024e-88,-1.4538334110970206,DOWN
ENSG00000238829.1,1.4360576814272822e-140,1.1219200636150641e-139,-1.4489969187729934,DOWN
ENSG00000271394.1,1.6348947562370873e-92,5.080181445934452e-92,-1.446940730062209,DOWN
ENSG00000242795.2,2.4930757474879485e-108,1.1147899683889201e-107,-1.4467124446860127,DOWN
ENSG00000199938.1,2.8613517636321753e-104,1.1726851490295802e-103,-1.4455067845361207,DOWN
ENSG00000184357.5,2.5792514245070605e-67,5.506942094250323e-67,-1.4450102513529437,DOWN
ENSG00000184260.6,2.118983302900123e-80,5.341158646173546e-80,-1.4445319759299193,DOWN
ENSG00000114115.10,1.8283151707086732e-247,6.057670746323917e-246,1.4419622262562692,UP
ENSG00000259803.7,1.0740371224590606e-128,6.949651968852745e-128,-1.4381995757085846,DOWN
ENSG00000253008.2,1.96394313356511e-99,7.268968529345965e-99,-1.437740056902733,DOWN
ENSG00000288667.1,2.137880621588196e-93,6.781051567897969e-93,-1.4308839260973385,DOWN
ENSG00000154277.13,1.7735293761130188e-94,5.827008105508724e-94,1.4290588526288,UP
ENSG00000262406.3,8.862327019901972e-95,2.9292547241262524e-94,1.428456540890791,UP
ENSG00000221063.3,1.940076034154464e-99,7.190308751920183e-99,-1.424422156648217,DOWN
ENSG00000251891.1,4.689328663192482e-102,1.823996297564261e-101,-1.4219657788256084,DOWN
ENSG00000047936.11,1.338360584633716e-152,1.3191726192626233e-151,-1.4209076594335863,DOWN
ENSG00000208772.1,1.5818626239040488e-78,3.887508682516653e-78,-1.4166657067784356,DOWN
ENSG00000259453.1,2.375859135437993e-114,1.2076917971265215e-113,-1.4160968794132818,DOWN
ENSG00000135324.6,5.449916687231018e-232,1.441083739412048e-230,1.4149367667162718,UP
ENSG00000277157.2,2.2934215666017758e-69,4.96998369436949e-69,-1.4147017868786058,DOWN
ENSG00000200397.1,9.766909718762305e-117,5.23567285118837e-116,-1.414638936037228,DOWN
ENSG00000182272.12,2.105515649856094e-178,3.1640262497837477e-177,1.4117838019959914,UP
ENSG00000188906.16,6.165782316453115e-144,5.06146309559584e-143,-1.4094502775480222,DOWN
ENSG00000069812.11,4.843837588126351e-289,2.8341602909249926e-287,1.4024747354642104,UP
ENSG00000064655.19,6.801850498803951e-177,9.949515357293013e-176,1.4008774274241382,UP
ENSG00000251682.1,1.582470469538017e-105,6.593626956408404e-105,-1.3984792903022043,DOWN
ENSG00000142973.14,4.633571901258403e-85,1.2468026153092571e-84,-1.3983014959944378,DOWN
ENSG00000233559.2,2.4277067967343606e-157,2.5776809617835877e-156,-1.3975191204099982,DOWN
ENSG00000188064.10,6.705079072584081e-166,8.195096644269433e-165,1.393531022402978,UP
ENSG00000103044.11,2.1390882754420248e-162,2.5246750032041068e-161,1.3927928584284524,UP
ENSG00000254560.6,4.0949264474490715e-197,7.60881603411145e-196,1.3926885482229874,UP
ENSG00000286522.2,1.1619169317772553e-58,2.2823368302767515e-58,-1.391696506074128,DOWN
ENSG00000178999.13,3.7637120229931276e-174,5.3351587954799484e-173,1.3895758396218996,UP
ENSG00000265421.1,2.2818180813896136e-96,7.795030712821661e-96,-1.3889709774011396,DOWN
ENSG00000062038.14,2.1258750069912382e-122,1.2438630360055118e-121,1.388260378313503,UP
ENSG00000264513.1,4.800574794373584e-128,3.0772915348548614e-127,-1.3881923802530933,DOWN
